Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
GAR:Gross attendance ratio,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:PT:L5T8:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,95.73863,,,,,
CR:Completion rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,99.87433,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,6.35989,,,,,
CR:Completion rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,99.86494,,,,,
MOR:Outbound mobility ratio,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,E7:Central and Eastern Europe,_Z:Not applicable,UA:Ukraine,MOR:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:W00:E7:_Z:UA,0.88980,1.17843,1.53041,2.83241,3.47323,3.51859,
REPR:Repetition rate,PT:Percentage,L1:Primary education,_T:Total,M:Male,_T:Total,G5:Grade 5,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,REPR:PT:L1:_T:M:_T:G5:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,,
NART:Total net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,98.88324,,,,,
SAP:School-age population,PER:Number of persons,_T:Total,_T:Total,M:Male,Y15T17:15-17 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:_T:_T:M:Y15T17:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,747613,709561,674901,,,,
QUTP:Percentage of qualified teachers,GPI:Gender parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,QUTP:GPI:L1:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,0.98886,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SAP:School-age population,PER:Number of persons,L1T3:Primary and secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:L1T3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,2340800,2308432,2305275,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
SAP:School-age population,PER:Number of persons,_T:Total,_T:Total,_T:Total,CE:Compulsory school age,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SAP:PER:_T:_T:_T:CE:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,4564787,4500075,4490855,,,,
STU:Students,PER:Number of persons,L0:Early childhood education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L0:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,12717,,11747,10439,10620,10750,
FOSEP:Distribution of students in tertiary education by field of education,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,"ISC_F05:Natural sciences, mathematics and statistics",_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FOSEP:PT:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F05:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,2.63970,3.80228,2.90250,
GTRANR:Gross transition ratio from secondary to tertiary education,PT:Percentage,"L3_CWD:Upper secondary education, with direct access to tertiary",_T:Total,F:Female,_T:Total,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GTRANR:PT:L3_CWD:_T:F:_T:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,149.59751,140.03523,148.72782,
ASER:Age specific enrolment rate,PT:Percentage,_T:Total,_T:Total,F:Female,Y15T17:15-17 years,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ASER:PT:_T:_T:F:Y15T17:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,96.05054,95.11206,94.01966,,,,
FEP:Percentage of female students,PT:Percentage,L5T8:Tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,"ISC_F03:Social sciences, journalism and information",_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,FEP:PT:L5T8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:ISC_F03:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,71.77249,71.29857,62.23999,
NAR:Net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,84.92439,,,,,
CR:Completion rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,98.78300,,,,,
GAR:Gross attendance ratio,GLPIA:Adjusted location parity index,L5T8:Tertiary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:GLPIA:L5T8:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
GRAD:Graduates,PER:Number of persons,L5T8:Tertiary education,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GRAD:PER:L5T8:_T:M:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,291097,279959,271375,231006,213805,188663,
NER:Net enrolment rate,PT:Percentage,L1_2:Primary and lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NER:PT:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,93.92939,94.66684,94.96042,,,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,S1:Asia,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:S1:W00:_Z:UA,19854,21817,42257,42044,38546,35838,
GECER:Gross early childhood enrolment ratio,PT:Percentage,L01:Early childhood educational development programmes,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GECER:PT:L01:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,,,,,,
NAR:Net attendance rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GLPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.03486,,,,,
TEACH:Teachers,PER:Number of persons,L2_3:Secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L2_3:_T:_T:_T:_T:INST_PUB:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,337078,327440,320727,
STU:Students,PER:Number of persons,L3:Upper secondary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L3:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,427868,406169,376397,307737,292002,281250,
CR:Completion rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GLPIA:L1:_T:F:_T:GLAST:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.06807,,,,,
CR:Completion rate,GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q2:Second,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:Q2:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),WPIA:Adjusted wealth parity index,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:WPIA:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.37817,,,,,
GAR:Gross attendance ratio,GPIA:Adjusted gender parity index,L5T8:Tertiary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:GPIA:L5T8:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.09583,,,,,
TEACH:Teachers,PER:Number of persons,L0:Early childhood education,_T:Total,F:Female,_T:Total,_T:Total,INST_PUB:Public institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L0:_T:F:_T:_T:INST_PUB:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,130015,131220,132430,
SLE:School life expectancy,YR:Years,L02T8:Pre-primary to tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SLE:YR:L02T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,17.95197,17.44315,,,,,
NAR:Net attendance rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,93.40148,,,,,
NARA:Adjusted net attendance rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,UNDER1_AGE:One year younger than official entry age,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:PT:L1:_T:F:UNDER1_AGE:_T:INST_T:_Z:Q2:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L2_3:Secondary education,C4:General programmes,M:Male,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2_3:C4:M:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,5847,5703,5466,4643,5104,5881,
NARA:Adjusted net attendance rate,WPIA:Adjusted wealth parity index,L1:Primary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NARA:WPIA:L1:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.04332,,,,,
GAR:Gross attendance ratio,PT:Percentage,L5T8:Tertiary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q1:Poorest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:PT:L5T8:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q1:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,34.02865,,,,,
NART:Total net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,99.45704,,,,,
TRTEACH:Trained teachers,PER:Number of persons,L2_3:Secondary education,_T:Total,M:Male,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TRTEACH:PER:L2_3:_T:M:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,NaN,NaN,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,ER:Eritrea,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:ER:W00:_Z:UA,0,0,9,12,9,9,
NERA:Adjusted net enrolment rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NERA:PT:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,93.87788,94.26082,92.76805,,,,
ILLPOP:Illiterate population,PT:Percentage,_Z:Not applicable,_Z:Not applicable,F:Female,Y_GE15:15 years and over,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ILLPOP:PT:_Z:_Z:F:Y_GE15:_Z:_Z:_Z:_Z:_T:_Z:_Z:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,89.29815,,,,,,
GER:Gross enrolment ratio,PT:Percentage,L2_3:Secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L2_3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,97.75499,98.54428,97.82345,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
PR:Promotion rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,G2:Grade 2,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,PR:PT:L2:C4:F:_T:G2:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.64716,99.70254,88.72588,98.82931,99.54951,,
